Entrez GeneID 1	Entrez GeneID 2	Pathophenotypic similarity
3868	3857	4.5362
1293	1291	4.5278
6391	54949	4.5226
2161	196527	4.5192
3691	3655	4.5122
2812	2815	4.5075
5506	5468	4.4936
4692	6638	4.492
10984	1028	4.4733
29914	3859	4.4724
29914	3850	4.4724
3918	3914	4.4696
7124	1909	4.4683
8438	83990	4.4577
8438	8493	4.4577
8438	9821	4.4577
83990	8493	4.4577
83990	9821	4.4577
8493	9821	4.4577
2158	2157	4.4536
10117	286077	4.4479
55755	55835	4.4465
9723	55636	4.4427
732	1675	4.4349
1813	8910	4.4221
7957	378884	4.4201
1277	1278	4.407
5741	9247	4.4048
1292	1293	4.4008
1292	1291	4.4008
6620	6622	4.4
3753	287	4.3915
3757	287	4.3915
9992	287	4.3915
57379	7374	4.3781
10243	4338	4.3772
10243	4337	4.3772
142680	120227	4.3744
3758	6557	4.3729
2153	2161	4.365
3784	3753	4.3621
3784	3757	4.3621
3784	9992	4.3621
9365	8074	4.3499
8074	2591	4.3499
8200	658	4.3491
959	958	4.3445
54209	7305	4.3386
10516	30008	4.3373
6017	5959	4.334
3753	6331	4.3282
3757	6331	4.3282
6331	9992	4.3282
6331	287	4.2965
25	602	4.2828
5644	6690	4.2772
1144	1134	4.2739
3852	103	4.2705
10021	6331	4.2568
4669	6448	4.2426
79803	3257	4.2416
79803	84062	4.2416
79803	89781	4.2416
79803	11234	4.2416
79803	388552	4.2416
79803	84343	4.2416
3257	84062	4.2416
3257	89781	4.2416
3257	11234	4.2416
3257	388552	4.2416
3257	84343	4.2416
84062	89781	4.2416
84062	11234	4.2416
84062	388552	4.2416
84062	84343	4.2416
89781	11234	4.2416
89781	388552	4.2416
89781	84343	4.2416
11234	388552	4.2416
11234	84343	4.2416
388552	84343	4.2416
9368	6569	4.2342
6392	54949	4.2313
602	1066	4.2274
1594	120227	4.2268
861	602	4.2213
2956	4292	4.2052
2956	4436	4.2052
4292	5395	4.2052
5395	4436	4.2052
11231	5589	4.2026
2110	2109	4.1918
2110	2108	4.1918
2109	2108	4.1918
3098	669	4.1709
462	5627	4.1698
6390	6391	4.1563
10577	4864	4.154
5795	207	4.1475
207	8313	4.1475
207	27030	4.1475
207	2033	4.1475
10083	7399	4.1465
10083	79955	4.1465
26580	10555	4.1439
3426	1675	4.143
51218	54977	4.1397
6340	6337	4.1294
6338	6337	4.1294
79784	71	4.1293
79784	1687	4.1293
71	1687	4.1293
5740	185	4.1235
185	5409	4.1235
2121	132884	4.1228
81693	8029	4.1174
5795	4893	4.0999
4893	8313	4.0999
4893	27030	4.0999
4893	2033	4.0999
2539	3098	4.0945
2539	669	4.0945
8287	6795	4.0936
6870	6866	4.0805
6870	26012	4.0805
6870	60675	4.0805
6866	26012	4.0805
6866	60675	4.0805
26012	60675	4.0805
7809	1188	4.0782
7078	6785	4.0774
7136	7140	4.0708
7015	26277	4.0699
7012	26277	4.0699
8287	1617	4.0671
8287	50511	4.0671
7809	1187	4.0647
1643	5429	4.0637
3784	287	4.0601
50940	5573	4.0589
137814	55997	4.0515
7048	7046	4.0474
142680	1594	4.0457
3784	6331	4.0442
7421	120227	4.0425
54714	24	4.0415
6448	138050	4.0413
29914	7045	4.0351
2161	3998	4.0331
2155	196527	4.0327
5096	5095	4.0327
3918	3909	4.0305
3914	3909	4.0305
2155	3998	4.0267
595	7428	4.025
7078	8842	4.0234
2261	2255	4.0216
1203	54982	4.0174
8890	8892	4.0132
8890	8891	4.0132
8890	8893	4.0132
8890	1967	4.0132
8892	8891	4.0132
8892	8893	4.0132
8892	1967	4.0132
8891	8893	4.0132
8891	1967	4.0132
8893	1967	4.0132
7066	4352	4.0054
7508	5429	4.0037
3857	3848	3.9943
84059	6323	3.9844
4359	1959	3.9844
7045	3859	3.9653
7045	3850	3.9653
